from_node,to_node,length_m,travel_time_s,fuel_l,co2_g,lanes
27005639,27005690,90.97,10.92,0.0073,17.41,1
27005639,5098014032,27.84,2.0,0.0022,5.33,2
27005639,147580874,47.71,3.43,0.0038,9.13,2
27005639,5098014035,27.21,3.27,0.0022,5.21,1
27005656,27005638,206.61,24.79,0.0165,39.54,1
27005670,27005638,57.43,6.89,0.0046,10.99,1
27005673,503707633,13.12,1.57,0.001,2.51,1
27005673,27005674,104.16,12.5,0.0083,19.93,1
27005673,27005687,42.32,5.08,0.0034,8.1,1
27005674,28107529,96.94,11.63,0.0078,18.55,1
27005674,27005673,104.16,12.5,0.0083,19.93,1
27005674,503707632,116.6,13.99,0.0093,22.31,1
27005676,3240372808,6.29,0.75,0.0005,1.2,1
27005676,27005687,208.56,25.03,0.0167,39.91,1
27005676,27005678,104.71,18.85,0.0084,20.04,1
27005678,27005688,84.92,10.19,0.0068,16.25,1
27005678,27005684,127.8,23.0,0.0102,24.46,1
27005678,27005676,104.71,18.85,0.0084,20.04,1
27005678,27005682,133.8,16.06,0.0107,25.6,1
27005682,5098014035,4.12,0.49,0.0003,0.79,1
27005682,27005678,133.8,16.06,0.0107,25.6,1
27005682,27005684,131.44,15.77,0.0105,25.15,1
27005684,27005687,147.14,17.66,0.0118,28.16,1
27005684,27005682,131.44,15.77,0.0105,25.15,1
27005684,27005678,127.8,23.0,0.0102,24.46,1
27005687,27005684,147.14,17.66,0.0118,28.16,1
27005687,27005673,42.32,5.08,0.0034,8.1,1
27005687,27005676,208.56,25.03,0.0167,39.91,1
27005688,27005678,84.92,10.19,0.0068,16.25,1
27005688,27005868,80.01,9.6,0.0064,15.31,1
27005688,2317505760,121.62,14.59,0.0097,23.27,1
27005690,147583589,111.82,13.42,0.0089,21.4,1
27005690,27005639,90.97,10.92,0.0073,17.41,1
27005690,147580871,58.82,7.06,0.0047,11.26,1
27005863,27005868,156.16,18.74,0.0125,29.88,1
27005863,10177240383,371.22,26.73,0.0297,71.04,1
27005863,147580874,164.2,11.82,0.0131,31.42,2
27005867,3240372808,159.49,19.14,0.0128,30.52,1
27005867,27005869,140.16,16.82,0.0112,26.82,1
27005867,1615721484,71.04,8.53,0.0057,13.59,1
27005867,27005868,89.07,10.69,0.0071,17.04,1
27005868,27005688,80.01,9.6,0.0064,15.31,1
27005868,27005867,89.07,10.69,0.0071,17.04,1
27005868,27005863,156.16,18.74,0.0125,29.88,1
27005869,5239255605,150.5,18.06,0.012,28.8,1
27005869,27005867,140.16,16.82,0.0112,26.82,1
27005869,27005883,209.52,25.14,0.0168,40.09,1
27005872,1615721484,25.54,3.06,0.002,4.89,1
27005872,27005873,155.18,18.62,0.0124,29.7,1
27005872,27005945,64.56,7.75,0.0052,12.35,1
27005873,27005872,155.18,18.62,0.0124,29.7,1
27005873,27005951,121.04,14.52,0.0097,23.16,1
27005873,3240372808,98.02,11.76,0.0078,18.76,1
27005883,503697866,174.6,20.95,0.014,33.41,1
27005883,27005869,209.52,25.14,0.0168,40.09,1
27005883,27005884,64.55,7.75,0.0052,12.35,1
27005884,27005887,161.29,19.35,0.0129,30.86,1
27005884,62998482,509.87,61.18,0.0408,97.57,1
27005884,27005883,64.55,7.75,0.0052,12.35,1
27005887,250549548,29.12,3.49,0.0023,5.57,1
27005887,27005884,161.29,19.35,0.0129,30.86,1
27005887,1615721484,294.12,35.29,0.0235,56.28,1
27005890,250549548,74.27,8.91,0.0059,14.21,1
27005890,1172412531,51.75,6.21,0.0041,9.9,1
27005890,27005963,146.79,17.61,0.0117,28.09,1
27005931,7397550359,105.61,12.67,0.0084,20.21,1
27005931,27005948,70.65,8.48,0.0057,13.52,1
27005931,27005934,63.96,7.68,0.0051,12.24,1
