from_node,to_node,length_m,travel_time_s,cost
61318476,61318136,136.96,24.65,0
61318478,2322627266,75.97,13.67,0
61318478,7892226623,91.11,13.12,0
61318480,61323139,77.63,13.97,0
61318480,61322716,63.68,11.46,0
61318481,61323288,53.99,9.72,0
61318483,61330248,215.65,38.82,0
61318483,61323135,70.87,8.5,0
61318483,61318484,78.23,9.39,0
61318484,61318483,78.23,9.39,0
61318484,61330091,74.7,8.96,0
61318489,6050488702,154.02,27.72,0
61318489,61329402,114.75,13.77,0
61318489,61317375,66.04,7.92,0
61318498,61324138,175.98,31.68,0
61318498,61318516,146.04,26.29,0
61318515,7883982085,72.56,13.06,0
61318515,61318516,207.31,37.32,0
61318516,61318498,146.04,26.29,0
61318516,61318457,88.89,16,0
61318516,61324138,166.37,29.95,0
61318520,61327781,71.59,12.89,0
61318520,61318534,155.04,27.91,0
61318520,61323791,111.71,20.11,0
61318520,61318436,277.47,49.95,0
61318523,61318577,19.47,3.5,0
61318523,61323866,46.4,6.68,0
61318523,61318526,71.66,12.9,0
61318526,61327018,53.8,9.68,0
61318526,61327143,67.91,12.22,0
61318526,61318523,71.66,12.9,0
61318530,75235297,99.63,11.96,0
61318530,61318542,98.75,11.85,0
61318532,61325559,169.05,30.43,0
61318532,61329201,56.47,8.13,0
61318533,61318460,159.97,28.79,0
61318533,61318560,22.46,3.23,0
61318533,61323671,138.65,19.97,0
61318534,61326649,106.14,19.1,0
61318534,61318520,155.04,27.91,0
61318534,61317381,155.26,27.95,0
61318535,61326743,62.91,7.55,0
61318535,61318532,46.3,5.56,0
61318538,61333919,49.91,8.98,0
61318538,61327715,125.02,22.5,0
61318538,61318540,20.66,3.72,0
61318539,61327730,9.87,1.42,0
61318539,61322177,116.28,13.95,0
61318539,61318540,77.79,14,0
61318540,61331982,46.7,6.72,0
61318540,61318539,77.79,14,0
61318540,61318538,20.66,3.72,0
61318541,1418792729,11.15,1.34,0
61318541,61322784,85.83,10.3,0
61318542,61333902,56.88,6.83,0
61318542,1418792729,45.45,5.45,0
61318542,61318530,98.75,11.85,0
61318544,61318546,250.78,45.14,0
61318544,9775078870,34.8,5.01,0
61318545,9634429759,57,10.26,0
61318545,61321412,82.66,14.88,0
61318546,61318545,95.28,17.15,0
61318546,621088965,44.5,6.41,0
61318547,61318440,59.92,10.79,0
61318547,61321071,61.98,11.16,0
61318553,61323671,137.68,24.78,0
61318553,61321168,109.83,19.77,0
61318553,61318565,142.26,25.61,0
61318560,61318565,93.74,16.87,0
61318560,61329446,164.84,23.74,0
61318560,61318533,22.46,3.23,0
61318561,61321159,205.03,24.6,1
61318561,61321211,191.43,22.97,0
61318561,61318563,90.17,10.82,0
61318561,61328896,82.46,9.89,1
61318563,61321162,101.84,12.22,0
61318563,61318561,90.17,10.82,0
61318563,7067953143,323.57,58.24,0
61318563,7067953147,120.25,21.64,0
61318565,61318560,93.74,16.87,0
61318565,61321168,138.73,24.97,0
61318565,61318553,142.26,25.61,0
61318569,1271546158,112.15,20.19,0
61318569,61329925,51.63,6.2,0
61318569,61328160,86.32,15.54,0
61318570,61317609,67.12,12.08,0
61318570,61329649,79.98,14.4,0
61318570,61318571,55.05,9.91,0
61318570,61317533,53.74,9.67,0
61318571,61332515,124.99,15,0
61318571,61318569,53.94,9.71,0
61318572,61321273,135.14,19.46,0
61318572,61318436,108.65,15.64,0
61318572,61283350,134.85,19.42,0
61318572,4406201720,121.2,17.45,0
61318577,61318523,19.47,3.5,0
61318577,61318578,147.76,26.6,0
61318578,61317427,40.2,7.24,0
61318578,61327322,23.81,4.29,0
61318578,61318577,147.76,26.6,0
61318581,61329118,81.36,14.65,0
61318581,61317596,42.52,7.65,0
61318581,61323368,49.65,8.94,0
61318582,61325511,137.81,24.81,0
61318582,61318434,136.84,24.63,0
61318582,61325426,75.19,13.53,0
61318582,61325545,78.92,14.21,0
61318586,12189221036,94.61,13.62,0
61318586,1053454370,154.02,22.18,0
61318588,61327311,53.39,7.69,0
61318588,61317663,18.24,2.63,0
61318589,61329864,64.04,11.53,0
61318589,61327096,148.99,26.82,0
61318592,61318595,106.11,19.1,0
61318592,61320984,72.86,13.11,0
61318593,8729939576,64.2,11.56,0
61318593,8729939593,32.73,3.93,0
61318595,61318589,37.87,6.82,0
61318597,8729939576,94.37,13.59,0
61318597,61318593,35.5,4.26,0
61318615,314502508,42.19,6.08,0
61318615,365950922,37.2,4.46,0
61318615,61324740,77.01,9.24,0
61318626,61321483,232.03,33.41,0
61318626,1052761909,84.75,15.25,0
61318626,61318627,60.46,10.88,0
61318627,1548095784,11.89,2.14,0
61318627,61327022,122.53,17.64,0
61318627,61318626,60.46,10.88,0
61318628,61320961,454.38,65.43,0
61318628,61321509,175.82,31.65,0
61318628,1116467478,32.79,3.93,0
61320961,61318628,454.38,65.43,0
61320974,61323222,77.15,13.89,0
61320974,61318428,120.07,21.61,0
61320976,61320974,65.87,11.86,0
61320976,61332560,49.05,5.89,0
61320978,7896005715,29.54,3.54,0
61320978,61318475,120.57,17.36,0
61320978,61320982,50.58,9.1,0
61320982,61320976,26.15,4.71,0
61320982,61322046,41.13,4.94,0
61320984,540399235,77.18,13.89,0
61320984,61327065,74.14,13.34,0
61320986,558677508,148.72,17.85,0
61320986,61326960,73.22,8.79,0
61320989,61332039,30.74,3.69,0
61320989,61320995,135.62,24.41,0
61320995,61329637,128.68,23.16,0
61320995,61329643,21.45,3.86,0
61320997,61320999,10.31,1.86,0
61320997,61322397,49.9,5.99,0
61320999,3164747603,36.42,4.37,0
61320999,61320989,165.26,29.75,0
61321000,61321066,48.31,8.7,0
61321006,61327356,79.65,14.34,0
61321006,61321016,36.09,5.2,0
61321008,61318109,70.83,12.75,0
61321008,61321255,186.22,33.52,0
61321008,3705459577,83.85,15.09,0
61321012,61326623,40.48,5.83,0
61321012,61321943,78.75,11.34,0
61321014,61321023,44.98,8.1,0
61321016,61321012,36.3,5.23,0
61321016,61321036,81.65,11.76,0
61321018,61324542,50.17,7.23,0
61321018,61321014,83.47,15.02,0
61321023,61327632,32.45,3.89,0
61321023,61327813,108.46,19.52,0
61321029,11070053345,75.19,13.53,0
61321029,61321799,33.57,4.03,0
61321030,61323088,49.01,8.82,0
61321030,61321029,35.97,6.47,0
61321030,61322495,19.09,2.75,0
61321032,61321006,82.32,14.82,0
61321032,61323506,74.93,13.49,0
61321036,61321016,81.65,11.76,0
61321036,61321032,33.42,6.02,0
61321054,2918219392,53.89,6.47,0
61321054,61329942,29.36,3.52,1
61321060,61329942,48.69,5.84,0
61321060,61321054,33.51,4.02,0
61321062,61322795,57,6.84,0
61321062,61330029,71.33,12.84,0
61321066,61322755,32.45,5.84,0
61321071,61321786,34.19,4.1,0
61321071,61321062,88.99,16.02,0
61321083,61318470,263.73,47.47,0
61321083,61318456,198.84,35.79,0
61321084,61327238,96.7,17.41,0
61321086,61321084,27.83,5.01,0
61321086,61330468,28.18,4.06,0
61321088,61322654,39.18,5.64,0
61321088,61321083,196.41,35.35,0
61321092,61321188,43.49,5.22,0
61321092,61326743,101.92,12.23,0
61321094,1220427140,75.47,10.87,0
61321094,61321106,51.07,9.19,0
61321095,61321879,47.33,6.81,0
61321095,61321119,197.08,35.47,0
61321101,61321373,205.43,36.98,0
61321101,61317367,173.86,31.3,0
61321101,61321103,52.61,9.47,0
61321103,61321101,52.61,9.47,0
61321103,61326736,73.11,13.16,0
61321106,61321200,76.53,13.78,0
61321106,61321110,77.05,13.87,0
61321106,61321136,137.18,24.69,0
61321110,61321112,128.13,23.06,0
61321110,1220427140,60.38,10.87,0
61321110,61321106,77.05,13.87,0
61321110,61328201,81.14,14.61,0
61321112,61326606,138.03,24.85,0
61321112,61321110,128.13,23.06,0
61321112,61329650,46.4,8.35,0
61321112,61328549,76.25,13.73,0
61321119,61326613,89.71,10.77,0
61321119,61317355,53.62,6.43,0
61321123,61321146,80.88,14.56,0
61321123,61331841,69.74,12.55,0
61321123,61322858,64.73,11.65,0
61321125,61322382,169.54,24.41,0
61321125,61323441,101.99,12.24,0
61321129,61321303,18.79,2.71,0
61321129,61321442,100.86,18.16,0
61321129,61317356,87.14,12.55,0
61321132,12138528838,3.61,0.65,0
61321132,61321698,21.54,3.88,0
61321132,61321146,105.52,15.2,0
61321134,61328060,73.78,13.28,0
61321134,61331837,67.73,12.19,0
61321136,61321106,137.18,24.69,0
61321136,61326784,138.18,24.87,0
61321136,61326918,76.78,13.82,0
61321136,61329650,28.96,5.21,0
61321138,61321745,47.55,8.56,0
61321138,11229037687,144.58,26.02,0
61321138,61321148,66.62,11.99,0
61321140,61321101,51.53,9.28,0
61321140,61321737,66.54,11.98,0
61321142,61326784,137.26,24.71,0
61321142,61326945,61.65,11.1,0
61321142,61329225,77.18,13.89,0
61321142,61321207,75.54,13.6,0
61321144,61321134,103.69,18.66,0
61321144,61323451,58.95,10.61,0
61321144,61321698,60.46,10.88,0
61321146,61283315,38.72,6.97,0
61321146,61321123,80.88,14.56,0
61321146,61321132,105.52,15.2,0
61321148,61323380,35.76,6.44,0
61321148,61321138,66.62,11.99,0
61321150,61321138,22.56,4.06,0
61321152,61323605,62.64,7.52,0
61321152,61318062,67.56,8.11,0
61321152,61321174,151.78,27.32,0
61321159,61323177,247.62,29.71,1
61321159,61318561,205.03,24.6,1
61321162,61329491,49.98,9,0
61321162,61332795,346.41,62.35,0
61321162,61329487,87.8,10.54,0
61321162,61318563,101.84,12.22,0
61321166,61321172,52.4,9.43,0
61321166,61332060,50.11,7.22,0
61321168,61318109,65.65,11.82,0
61321168,61318565,138.73,24.97,0
61321168,61318553,109.83,19.77,0
61321170,61321166,41.14,7.41,0
61321170,61321791,42.88,6.17,0
61321172,61327521,226.6,40.79,0
61321172,61321196,90.06,16.21,0
61321174,61322059,84.13,15.14,0
61321174,61321152,151.78,27.32,0
61321175,61321170,73.93,13.31,0
61321175,61329208,85.9,10.31,0
61321175,61326778,91.54,10.99,0
61321183,61326821,100.23,18.04,0
61321187,61321183,125.47,22.58,0
61321187,61322522,85.69,10.28,0
61321187,11229037687,88.31,10.6,0
61321188,61317361,140.54,16.86,0
61321188,61321092,43.49,5.22,0
61321188,61326621,87.37,15.73,0
61321194,61317413,82.43,14.84,0
61321194,61326730,211.77,38.12,0
61321196,61321198,29.07,4.19,0
61321196,61326778,169.15,24.36,0
61321198,61321196,29.07,4.19,0
61321198,61321879,52.64,7.58,0
61321198,61325436,163.87,23.6,0
61321200,61321202,76.44,13.76,0
61321200,61321106,76.53,13.78,0
61321200,61329290,104.77,18.86,0
61321200,61326918,136.92,24.65,0
61321202,61326930,137.45,24.74,0
61321202,61321200,76.44,13.76,0
61321202,61329262,80.33,14.46,0
61321203,61321205,178.76,32.18,0
61321203,61326771,78.3,14.09,0
61321205,61326594,137.28,24.71,0
61321205,61321203,178.76,32.18,0
61321205,61321511,34.3,6.17,0
61321205,61321207,76.09,13.7,0
61321207,61326606,137.41,24.73,0
61321207,61321142,75.54,13.6,0
61321207,61321205,76.09,13.7,0
61321209,61321183,83.3,14.99,0
61321209,61322522,132.46,23.84,0
61321209,61326592,113.94,20.51,0
61321211,61318433,40.82,7.35,0
61321211,61318561,191.43,22.97,0
61321211,941834416,44.98,5.4,0
61321218,61317764,269.95,48.59,0
61321218,61317400,73.28,10.55,0
61321241,61321255,22.3,4.01,0
61321241,61324067,68.43,12.32,0
61321241,61329446,106.25,19.13,0
61321252,6050488697,65.57,11.8,0
61321252,61323536,133.82,24.09,0
61321254,61321278,34.19,6.15,0
61321254,61323593,94.65,17.04,0
61321255,61321241,22.3,4.01,0
61321255,61322024,69.33,9.98,0
61321255,61321008,186.22,33.52,0
61321257,61330039,154.66,27.84,0
61321257,61317545,122.29,22.01,0
61321259,2559934204,27.48,3.3,0
61321268,61332020,47.61,5.71,0
61321268,61321257,31.05,5.59,0
61321273,61318572,135.14,19.46,0
61321273,61327121,118.7,17.09,0
61321273,61329862,75.18,10.83,0
61321275,61327113,70.24,10.11,0
